title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.title,distribution.0.description,distribution.0.format,distribution.0.size,distribution.1.downloadURL,distribution.1.title,distribution.1.description,distribution.1.format,distribution.1.size,distribution.2.downloadURL,distribution.2.title,distribution.2.description,distribution.2.format,distribution.2.size,distribution.3.downloadURL,distribution.3.title,distribution.3.format,distribution.3.size,distribution.4.downloadURL,distribution.4.title,distribution.4.format,distribution.4.size,distribution.5.downloadURL,distribution.5.title,distribution.5.format,distribution.5.size,distribution.6.downloadURL,distribution.6.title,distribution.6.format,distribution.6.size,distribution.7.downloadURL,distribution.7.title,distribution.7.format,distribution.7.size,distribution.8.downloadURL,distribution.8.title,distribution.8.format,distribution.8.size,,,,,
Abortion Statistics,Abortion statistics measure the number of induced abortions that occur in New Zealand hospitals or licensed abortion clinics.,,https://creativecommons.org/licenses/by/4.0,"Abortions, Health, Society, Women",,19/06/2018,Stats NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Abortion%20statistics%2CInformation%20releases,Annual,Population and society,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/7845b64a-dc1a-427c-b9a5-89eaf7c4580b,Metadata on dataset,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare: to view & download time-series data,"Select Subject category: Health, and Group: Abortion Statistics - ABN ",,,https://www.stats.govt.nz/assets/Uploads/Abortion-statistics/Abortion-statistics-Year-ended-December-2017/Download-data/abortion-statistics-year-ended-december-2017.xlsx,Year ended December 2017 data,,XLSX,94KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accommodation Survey,"This provides statistics on guest night numbers, capacity and occupancy rates of hotels, motels, backpacker accommodation, and holiday parks in New Zealand each month. These statistics are used by regional tourism organisations, local and national government and the accommodation industry for monitoring and planning.",,https://creativecommons.org/licenses/by/4.0,"Accommodation, Economy, Industries, Tourism",,15/02/2018,Stats NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Accommodation%20survey%2CInformation%20releases,Monthly,"Commerce, trade and industry",,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/38574cd6-b696-41a5-b311-41bfa5611a99,Metadata on dataset,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare: to view & download time-series data,"Select Subject category: Tourism, and Group: Accommodation Survey - ACS",,,https://www.stats.govt.nz/assets/Uploads/Accommodation-survey/Accommodation-survey-December-2018/Download-data/accommodation-survey-december-2018-rto-and-accommodation-type-pivot-table.xlsx,Accommodation survey: December 2018 - RTO and accommodation type pivot table,,XLSX,2.3MB,https://www.stats.govt.nz/assets/Uploads/Accommodation-survey/Accommodation-survey-December-2018/Download-data/accommodation-survey-december-2018-rto-and-origin-pivot-table.xlsx,Accommodation survey: December 2018 - RTO and origin pivot table,XLSX,825KB,https://www.stats.govt.nz/assets/Uploads/Accommodation-survey/Accommodation-survey-December-2018/Download-data/accommodation-survey-december-2018-territorial-authority-pivot-table.xlsx,Accommodation survey: December 2018 - territorial authority pivot table,XLSX,851KB,https://www.stats.govt.nz/assets/Uploads/Accommodation-survey/Accommodation-survey-December-2018/Download-data/accommodation-survey-december-2018.xlsx,Accommodation survey: December 2018,XLSX,66KB,,,,,,,,,,,,,,,,,
Agricultural Production Statistics,"These releases contain information on farming in New Zealand - including livestock and arable farming, horticulture, and forestry. Agricultural production statistics are produced in collaboration with the Ministry for Primary Industries.",,https://creativecommons.org/licenses/by/4.0,"Agriculture, Atmopshere and climate, Economy, Environment, Imports and exports, Industries, Injuries, Land, Mnaufacturing and production",12/06/1905,17/01/2019,Stats NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Agricultural%20production%20statistics%2CInformation%20releases,Annual,"Agriculture, forestry and fisheries",,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/6362a469-f374-412e-ac25-d76fd0962003,Metadata on dataset,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare: to view & download time-series data,,,,https://www.stats.govt.nz/assets/Uploads/Agricultural-production-statistics/Agricultural-production-statistics-June-2018-provisional/Download-data/agricultural-production-statistics-june-2018-provisional.xlsx,Agricultural production statistics: June 2018 (provisional),,XLSX,55KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol  Available for Consumption,"These releases provide estimates of the quantity of alcoholic beverages and tobacco available for consumption in New Zealand. As the tobacco available for consumption series was discontinued in September 2010, for reasons of confidentiality, the release title was changed accordingly. ",,https://creativecommons.org/licenses/by/4.0,"Economy, Imports and export, Industries",,26/11/2018,Stats NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Alcohol%20available%20for%20consumption%2CInformation%20releases,Irregular,Health,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/670bcc59-c688-4468-be48-2af03ed6b363,Metadata on dataset,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare: to view & download time-series data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Enterprise Survey,The ongoing Annual Enterprise Survey (AES) is New Zealand's most comprehensive source of financial statistics and provides annual financial performance and financial position information about business operation within New Zealand. Its coverage is around 80% of New Zealand's Gross Domestic Product (GDP).,,https://creativecommons.org/licenses/by/4.0,"Business, Economy, Industries",8/06/1905,29/06/2018,Stats NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Annual%20enterprise%20survey%2CInformation%20releases, Annual,"Commerce, trade and industry",01-10-2016/30-09-2017,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/36809771-984d-4e6b-89a1-576f2118b05b,Metadata on dataset,,,,https://www.stats.govt.nz/assets/Uploads/Annual-enterprise-survey/Annual-enterprise-survey-2017-financial-year-provisional/Download-data/annual-enterprise-survey-2017-financial-year-provisional-size-bands-csv.csv,2017 financial year (provisional) - size bands,,CSV,927KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Susan Hollows,National Accounts
"Balance of Payments and International Investment Position
","These statistics provide records of the value of the country's transactions with the rest of the world in goods, services, income, and transfers. They also record changes in New Zealand's financial claims on (assets), and liabilities to, the rest of the world",,https://creativecommons.org/licenses/by/4.0,"Balance of payments, Economy, Imports and exports",1/06/2000,26/09/2018,Stats NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Balance%20of%20payments%20and%20international%20investment%20position%2CInformation%20releases,Quarterly,"Fiscal, tax and economics",2001/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/13e41c3d-4ff4-403b-a503-ecd498f8bc1c,Metadata on dataset,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare: to view & download time-series data,"Select Subject category: Economic indicators,  and Group: Balance of payments - BOP, or Group: International investment position - IIP",,,https://www.stats.govt.nz/assets/Uploads/Balance-of-payments/Balance-of-payments-and-international-investment-position-September-2018-quarter/Download-data/balance-of-payments-international-investment-position-sep18-csv-tables.zip,September 2018 quarter,,ZIP,833KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Births,"These measure the number of births  registered in New Zealand. Birth and statistics provide local authorities, health authorities, and research institutions with information needed to plan future and current social services.",,https://creativecommons.org/licenses/by/4.0,"Births and deaths, Gender and sex, Population, Women",21/01/1905,1/11/2018,Stats NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Births%20and%20deaths%2CInformation%20releases,Quarterly,Population and society,1848/09-2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/24f68263-9666-4dca-b5d8-c1bc4bef92c4,Metadata on dataset,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare: to view & download time-series data,"September 2018 data.  Select Subject category: Population, and Group: Births - VSB, or Group: Birth rates - DFM",,,https://www.stats.govt.nz/assets/Uploads/Births-and-deaths/Births-and-deaths-Year-ended-December-2017/Download-data/births-and-deaths-year-ended-december-2017-zipped-csv-tables.zip,Year ended December 2017 data,,ZIP,8.7KB,https://www.stats.govt.nz/assets/Uploads/Births-by-statistical-area-2-and-area-unit-for-comparison.csv,Births data by statistical area 2 and area unit (comparison),CSV,235KB,,,,,,,,,,,,,,,,,,,,,,,,,
Building Consents Issued,"This information release contains statistics on consents for residential and non-residential buildings by region and building type. It includes the number, value and floor area of new residential dwellings, and the value of consents for residential alterations and additions. It also includes the value of consents for non-residential buildings, and the floor area of new non-residential buildings",,https://creativecommons.org/licenses/by/4.0,"Building, Economy, Housing",,,Stats NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Building%20consents%20issued%2CInformation%20releases,Monthly,"Commerce, trade and industry",,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/ee083b32-8c10-4ccf-b1ee-a4990b27273c,Metadata on dataset,,,,http://www.stats.govt.nz/infoshare/,Use Infoshare for time-series data,"Subject category: Industry sectors, and Group: Building consents - BLD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Activity (GST) Indicator Series,"These releases provide information on business activity in New Zealand, by industry. The Business Activity Indicator is derived from goods and services tax (GST) data. These releases were suspended in 2002.",,https://creativecommons.org/licenses/by/4.0,"GST, business, business activity, tax",1/01/1998,22/02/2002,Stats NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,http://archive.stats.govt.nz/browse_for_stats/businesses/business_growth_and_innovation/business-activity-indicator-info-releases.aspx,Quarterly,"Fiscal, tax and economics",1992/2001,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/BusinessActivityIndicatorGST/HOTPSept01qtr/b-a-gst-i-sep-01-qtr-all-tables.xls,September 2001 quarter data,,XLS,650KB,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/BusinessActivityIndicatorGST/HOTPJun01qtr/bagstijun01qtralltables.xls,June 2001 quarter data,,XLS,651KB,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/BusinessActivityIndicatorGST/HOTPMarch01qtr/bagstimar01qtralltables.xls,March 2001 quarter data,,XLS ,652KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Operations Survey,"The Business Operations Survey is to collect performance measures from New Zealand businesses to better understand the practices and behaviours they undertake which may have an impact on their performance. These statistics feed into policy and micro data research that helps identify the current situation of the New Zealand business environment, as well as potential areas of improvement. The survey covers all businesses in New Zealand that have 6 more employees, and have been active for one year or more.",,https://creativecommons.org/licenses/by/4.0,"Business, Economy, Industries, Information, and communication technology",,20/03/2018,Stats NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Business%20operations%20survey%2CInformation%20releases,Annual,"Business, Economy, Industries, Information and communication technology, Research and development",2005/2017,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/98568739-f933-4c00-8d56-d523f20e68bb,Metadata on dataset,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare: to view & download time-series data,Select Subject category: Business and Group: Business operations survey - BUO,,,https://www.stats.govt.nz/assets/Uploads/Business-operations-survey/Business-operations-survey-2017/Download-data/business-operations-survey-2017-health-and-safety-csv-tables.csv,Health and Safety data 2017,,CSV,1.1MB,https://www.stats.govt.nz/assets/Uploads/Business-operations-survey/Business-operations-survey-2017/Download-data/business-operations-survey-2017-business-practices-csv-tables.csv,Business practices 2017,CSV,2.3MB,https://www.stats.govt.nz/assets/Uploads/Business-operations-survey/Business-operations-survey-2016/Download-data/business-operations-survey-2016-skills-acquisition-csv-tables.zip,"Skills acquisition data, 2016",ZIP,75KB,https://www.stats.govt.nz/assets/Uploads/Business-operations-survey/Business-operations-survey-2016/Download-data/business-operations-survey-2016-regulation-csv-tables.zip,Regulation 2016,ZIP,689KB,,,,,,,,,,,,,,,,,
