title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.title,distribution.0.description,distribution.0.format,distribution.0.size,distribution.1.downloadURL,distribution.1.title,distribution.1.description,distribution.1.format,distribution.1.size,distribution.2.downloadURL,distribution.2.title,distribution.2.description,distribution.2.format,distribution.2.size,distribution.3.downloadURL,distribution.3.title,distribution.3.description,distribution.3.format,distribution.3.size,distribution.4.downloadURL,distribution.4.title,distribution4.description,distribution.4.format,distribution.4.size,distribution.5.downloadURL,distribution.5.title,distribution.5.format,distribution.5.size,distribution.6.downloadURL,distribution.6.title,distribution.6.format,distribution.6.size,distribution.7.downloadURL,distribution.7.title,distribution.7.format,distribution.7.size,distribution.8.downloadURL,distribution.8.title,distribution.8.format,distribution.8.size,Available as bulk data download,Can be open,What is required to open,Estimate date of release
Abortion Statistics,Abortion statistics measure the number of induced abortions that occur in New Zealand hospitals or licensed abortion clinics.,,https://creativecommons.org/licenses/by/4.0,"Abortions, Health, Society, Women",,19-06-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Abortion%20statistics%2CInformation%20releases,Annual,Population and society,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/7845b64a-dc1a-427c-b9a5-89eaf7c4580b,Metadata,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare data tool,"Select Subject category: Health, and Group: Abortion Statistics - ABN ",,,https://www.stats.govt.nz/assets/Uploads/Abortion-statistics/Abortion-statistics-Year-ended-December-2017/Download-data/abortion-statistics-year-ended-december-2017.xlsx,Year ended December 2017 data,,XLSX,94KB,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
Accommodation Survey,"This provides statistics on guest night numbers, capacity and occupancy rates of hotels, motels, backpacker accommodation, and holiday parks in New Zealand each month. These statistics are used by regional tourism organisations, local and national government and the accommodation industry for monitoring and planning.",,https://creativecommons.org/licenses/by/4.0,"Accommodation, Economy, Industries, Tourism",,15-02-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Accommodation%20survey%2CInformation%20releases,Monthly,"Commerce, trade and industry",,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/38574cd6-b696-41a5-b311-41bfa5611a99,Metadata,,,,"http://www.stats.govt.nz/infoshare/
",Accommodation survey time series data,"Select Subject category: Tourism, and Group: Accommodation Survey - ACS",,,https://www.stats.govt.nz/assets/Uploads/Accommodation-survey/Accommodation-survey-January-2019/Download-data/accommodation-survey-january-2019-rto-and-accommodation-type-pivot-table.xlsx,January 2019 - RTO and accommodation type pivot table,RTO: Regional tourism operator,XLSX,2.3MB,https://www.stats.govt.nz/assets/Uploads/Accommodation-survey/Accommodation-survey-January-2019/Download-data/accommodation-survey-january-2019-rto-and-origin-pivot-table.xlsx,January 2019 - RTO and origin pivot table,RTO: Regional tourism operator,XLS,825KB,https://www.stats.govt.nz/assets/Uploads/Accommodation-survey/Accommodation-survey-January-2019/Download-data/accommodation-survey-january-2019-territorial-authority-pivot-table.xlsx,January 2019 - Territorial authority pivot table,,XLS,903KB,https://www.stats.govt.nz/assets/Uploads/Accommodation-survey/Accommodation-survey-January-2019/Download-data/accommodation-survey-january-2019.xlsx,Accommodation survey: January 2019,XLS,65KB,,,,,,,,,,,,,No,,,
Agricultural Production Statistics,"These releases contain information on farming in New Zealand - including livestock and arable farming, horticulture, and forestry. Agricultural production statistics are produced in collaboration with the Ministry for Primary Industries.",,https://creativecommons.org/licenses/by/4.0,"Agriculture, Economy, Industries",1990,17-01-2019,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Agricultural%20production%20statistics%2CInformation%20releases,Annual,"Agriculture, forestry and fisheries",,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/6362a469-f374-412e-ac25-d76fd0962003,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Agricultural-production-statistics/Agricultural-production-statistics-June-2018-provisional/Download-data/agricultural-production-statistics-june-2018-provisional.xlsx,June 2018 (provisional) dataset,,XLS,55KB,www.stats.govt.nz/infoshare,Industry data by regional and local authorities,"Select Subject category: Industry sectors, and select Group: Agriculture - AGR",,,www.stats.govt.nz/infoshare,Livestock slaughtering statistics,"Select Subject category: Industry sectors, and Group: Livestock slaughtering - LSS ",,,www.stats.govt.nz/infoshare,Primary production - poultry data,"Select Subject category: Industry sectors, and Group: Primary Production - PRP",,,http://nzdotstat.stats.govt.nz/wbos/Index.aspx?DataSetCode=TABLECODE7421,Forestry by regional council,,,http://nzdotstat.stats.govt.nz/wbos/Index.aspx?DataSetCode=TABLECODE7422,Horticulture by regional council,,,http://nzdotstat.stats.govt.nz/wbos/Index.aspx?DataSetCode=TABLECODE7423,Livestock numbers by regional council,,,,,,,No,,,
Alcohol  Available for Consumption,"These releases provide estimates of the quantity of alcoholic beverages and tobacco available for consumption in New Zealand. As the tobacco available for consumption series was discontinued in September 2010, for reasons of confidentiality, the release title was changed accordingly. ",,https://creativecommons.org/licenses/by/4.0,"Economy, Imports and export, Industries",1983,26-11-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Alcohol%20available%20for%20consumption%2CInformation%20releases,Quarterly,Health,1983/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/670bcc59-c688-4468-be48-2af03ed6b363,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Alcohol-available-for-consumption/Alcohol-available-for-consumption-Year-ended-December-2018/Download-data/alcohol-available-for-consumption-year-ended-december-2018-csv.csv,Year ended Dec 2018 data,,CSV,1.6MB,www.stats.govt.nz/infoshare,Alcohol available for consumption time series data,"Subject category: Industry sectors, and Group: Alcohol available for consumption - ALC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Annual Balance Sheets,"These provide estimates of assets, liabilities and net worth held by New Zealand institutional sectors (e.g. businesses, households and government) at a single point in time ",,https://creativecommons.org/licenses/by/4.0,"Business, Economy, Government finance, Gross domestic product, Households, Industries, National accounts",31-03-2017,10-12-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Annual%20balance%20sheets%2CInformation%20releases,Annual,National Accounts,2015/2017,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/f025885e-09f5-4fd9-ada2-d2b64c633e9f,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Annual-balance-sheets/Annual-balance-sheets-2017-provisional/Download-data/annual-balance-sheets-and-accumulation-accounts-200817-provisional-csv.csv,2008-17 (provisional) dataset,,CSV,2.5MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Annual Enterprise Survey,The ongoing Annual Enterprise Survey (AES) is New Zealand's most comprehensive source of financial statistics and provides annual financial performance and financial position information about business operation within New Zealand. Its coverage is around 80% of New Zealand's Gross Domestic Product (GDP).,,https://creativecommons.org/licenses/by/4.0,"Business, Economy, Industries",,29-06-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Annual%20enterprise%20survey%2CInformation%20releases, Annual,"Commerce, trade and industry",1986/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/36809771-984d-4e6b-89a1-576f2118b05b,Metadata,,,,"https://www.stats.govt.nz/assets/Uploads/Annual-enterprise-survey/Annual-enterprise-survey-2017-financial-year-provisional/Download-data/annual-enterprise-survey-2017-financial-year-provisional-csv.csv
",2017 Financial Year dataset (provisional),,CSV,3.5MB,https://www.stats.govt.nz/assets/Uploads/Annual-enterprise-survey/Annual-enterprise-survey-2017-financial-year-provisional/Download-data/annual-enterprise-survey-2017-financial-year-provisional-size-bands-csv.csv,2017 financial year (provisional) - size bands,,CSV,927KB,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
"Balance of Payments and International Investment Position
","These statistics provide records of the value of the country's transactions with the rest of the world in goods, services, income, and transfers. They also record changes in New Zealand's financial claims on (assets), and liabilities to, the rest of the world",,https://creativecommons.org/licenses/by/4.0,"Balance of payments, Economy, Imports and exports",20-09-2017,26-09-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Balance%20of%20payments%20and%20international%20investment%20position%2CInformation%20releases,Quarterly,"Fiscal, tax and economics",2001/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/13e41c3d-4ff4-403b-a503-ecd498f8bc1c,Metadata,,,,http://www.stats.govt.nz/infoshare/,Balance of payment time series data,"Select Subject category: Economic indicators, and Group: Balance of payments - BOP; or Group: International investment position - IIP ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Births,"These measure the number of births  registered in New Zealand. Birth and statistics provide local authorities, health authorities, and research institutions with information needed to plan future and current social services.",,https://creativecommons.org/licenses/by/4.0,"Births and deaths, Gender and sex, Population, Women",1848,01-11-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Births%20and%20deaths%2CInformation%20releases,Quarterly,Population and society,1848/09-2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/24f68263-9666-4dca-b5d8-c1bc4bef92c4,Metadata,,,,"http://www.stats.govt.nz/infoshare/
",Birth time series data,"Select Subject category: Population, and Group: Births - VSB, or Group: Birth rates - DFM",,,https://www.stats.govt.nz/assets/Uploads/Births-and-deaths/Births-and-deaths-Year-ended-December-2018/Download-data/births-and-deaths-year-ended-december-2018-csv.zip,Year ended December 2018 data,,ZIP,9.3KB,https://www.stats.govt.nz/assets/Uploads/Births-by-statistical-area-2-and-area-unit-for-comparison.csv,Births data by statistical area 2 and area unit (comparison),,CSV,235KB,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Building Consents Issued,"This information release contains statistics on consents for residential and non-residential buildings by region and building type. It includes the number, value and floor area of new residential dwellings, and the value of consents for residential alterations and additions. It also includes the value of consents for non-residential buildings, and the floor area of new non-residential buildings",,https://creativecommons.org/licenses/by/4.0,"Building, Economy, Housing",30-08-2017,29-03-2019,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Building%20consents%20issued%2CInformation%20releases,Monthly,"Commerce, trade and industry",1965/2019,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/ee083b32-8c10-4ccf-b1ee-a4990b27273c,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Building-consents-issued/Building-consents-issued-February-2019/Download-data/building-consents-issued-february-2019-csv.zip,February 2019 data,,"CSV, ZIP",29MB,http://www.stats.govt.nz/infoshare/,Building consents time series data,"Subject category: Industry sectors, and Group: Building consents - BLD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Business Activity (GST) Indicator Series,"These releases provide information on business activity in New Zealand, by industry. The Business Activity Indicator is derived from goods and services tax (GST) data. These releases were suspended in 2002.",,https://creativecommons.org/licenses/by/4.0,"GST, business, business activity, tax",,22-02-2002,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,http://archive.stats.govt.nz/browse_for_stats/businesses/business_growth_and_innovation/business-activity-indicator-info-releases.aspx,Quarterly,"Fiscal, tax and economics",1992/2001,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/BusinessActivityIndicatorGST/HOTPSept01qtr/b-a-gst-i-sep-01-qtr-all-tables.xls,September 2001 quarter data,,XLS,650KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
